Category,Item,QOH,Cost Value,Total Cost Value,Retail Value,Total Retail Value
MICRO BREW,WEYERBACHER BIG BEERVARIETY 2/12 PK NR CASE,60,2.02,121.20,64.69,3881.40
MICRO BREW,ROGUE DEAD GUY ALE 4/6  PK NR CASE,36,1.42,51.12,47.89,1724.04
MICRO BREW,HARPOON IPA 2/12 PK NR CASE,84,1.20,100.80,40.49,3401.16
MICRO BREW,SAM  ADAMS  SUMMER ALE 2/12 PK NR CASE,240,1.25,300.00,41.89,10053.60
MICRO BREW,SEA DOG  VARIETY NR CASE,72,1.20,86.40,37.29,2684.88
MICRO BREW,LANC.  MILK STOUT CASE 2/12 PK NR CASE,60,1.19,71.40,38.09,2285.40
MICRO BREW,LANC.  VARIETY 2/12 PK NR CASE,84,1.12,94.08,42.29,3552.36
MICRO BREW,LANC.  STRAWBERRY 2/12 PK NR CASE,36,1.19,42.84,38.09,1371.24
MICRO BREW,SAM  ADAMS IRISH RED 4/6 PK NR CASE,42,1.32,55.44,44.69,1876.98
MICRO BREW,WEYERBACHER M MONKS CASE NR,30,1.55,46.50,53.29,1598.70
MICRO BREW,SIERRA NEV. TORPEDO 2/12 PK NR CASE,156,1.14,177.84,39.69,6191.64
MICRO BREW,SAM  ADAMS VARIETY 2/12 PK  NR CASE,12,1.25,15.00,41.89,502.68
MICRO BREW,SMUTTYNOSE VARIETY2/12 PK NR CASE,96,1.23,118.08,41.59,3992.64
MICRO BREW,OMMEGANG ABBEY ALE 6/4 PK NR CASE,12,2.03,24.36,68.99,827.88
MICRO BREW,ABITA  PURPLE HAZE 2/12 NR CASE,24,1.04,24.96,35.29,846.96
MICRO BREW,VICTORY HEAD WATER 4/6 PK NR CASE,138,1.22,168.36,41.29,5698.02
MICRO BREW,YOUNGS DBLCHOC  STOUT 6/4PK NR CASE,36,2.83,101.88,95.90,3452.40
MICRO BREW,SIERRA NEV. PALE ALE 2/12 PK  CAN CASE,216,1.17,252.72,39.69,8573.04
MICRO BREW,WELLS BANANA BREAD 6/4  PK NR CASE,12,1.77,21.24,59.89,718.68
