Item Type,SKU,Item Name,QOH,Selling Price,Unit Per Case,Department,Category,Size
Standard,072489032018,PING PONG BALL,0,1.99,1,TAXABLE MISC,MISC TAXABLE,
Standard,312546627710,HALLS CHERRY,23,1.19,1,TAXABLE MISC,MISC TAXABLE,
Standard,312546627529,HALLS DEFENSE,25,1.19,1,TAXABLE MISC,MISC TAXABLE,
Standard,894945001785,SHARGIO TUBES GREEN CIG. TUBES,2,2.50,1,TAXABLE MISC,MISC TAXABLE,
Standard,816568010227,SHARGIO TUBES FULL FLAVOR 100,5,2.50,1,TAXABLE MISC,MISC TAXABLE,
Standard,894945001815,SHARGIO TUBES BLUE CIG. TUBES,-4,2.50,1,TAXABLE MISC,MISC TAXABLE,
Standard,784762006479,ZIG ZAG BLUE KING SIZE TUBES,4,3.59,1,TAXABLE MISC,MISC TAXABLE,
Standard,784762007483,ZIG ZAG RED KING SIZE TUBES,5,3.59,1,TAXABLE MISC,MISC TAXABLE,
Standard,020735096437,TURKEY HILL LEMONADE,12,1.59,1,TAXABLE MISC,MISC TAXABLE,
Standard,020735096413,TURKEY HILL GREEN TEA,0,1.59,1,TAXABLE MISC,MISC TAXABLE,
Standard,020735096352,TURKEY HILL DIET ICED TEA,0,1.59,1,TAXABLE MISC,MISC TAXABLE,
Standard,020735096574,TURKEY HILLSTRAW KIWI LEMONADE,0,1.59,1,TAXABLE MISC,MISC TAXABLE,
Standard,037900990629,RONSON 8 OZ  FUEL,1,3.99,1,TAXABLE MISC,MISC TAXABLE,
Standard,016500514473,ALKA-SELTZER,58,0.99,1,TAXABLE MISC,MISC TAXABLE,
Standard,300450481528,MOTRIN,47,0.99,1,TAXABLE MISC,MISC TAXABLE,
Standard,655708019061,NYQUILL,24,0.99,1,TAXABLE MISC,MISC TAXABLE,
Standard,655708019115,DAYQUILL,4,0.99,1,TAXABLE MISC,MISC TAXABLE,
Standard,305730154895,ADVIL,37,0.99,1,TAXABLE MISC,MISC TAXABLE,
